position,title,snippet,link,displayed_link,highlighs
0,Larsen & Toubro (@larsentoubro) / ...,"The official Larsen & Toubro Corporate handle. Follow us for the latest news, announcements & upcoming events.",https://twitter.com/larsentoubro,https://twitter.com › larsentoubro,
1,L&T Technology Services (LTTS) (@LnTTechservices) / ...,We are a global leader in Engineering and R&D (ER&D) services. Visit https://t.co/d4nu0A518q for more information. #EngineeringTheChange.,https://twitter.com/LnTTechservices,https://twitter.com › LnTTechservices,
2,Financial Express,@larsentoubro. ) announced that its Hydrocarbon vertical has secured significant order from ONGC for the MHN TCPP PGC BGC Project (MTPBP) ...,https://twitter.com/FinancialXpress/status/1765611382110867531,https://twitter.com › FinancialXpress › status,['larsentoubro']
3,Financial Express,"@larsentoubro. ) announced that it has bagged a major contract from the Ministry of Defence, Government of India, for the supply of High ...",https://twitter.com/FinancialXpress/status/1763491335271784585,https://twitter.com › FinancialXpress › status,['larsentoubro']
4,Financial Express,@larsentoubro. ) announced that its Hydrocarbon vertical has secured an onshore order and an offshore order from a prestigious client in the ...,https://twitter.com/FinancialXpress/status/1757295098348425363,https://twitter.com › FinancialXpress › status,['larsentoubro']
5,CNBC-TV18,@larsentoubro. ) slumps after news reports suggest that Saudi Aramco defers bid process for $10 bn+ orders for Safaniyah #Oilfield projects ...,https://twitter.com/CNBCTV18News/status/1759442902764384753,https://twitter.com › status,['larsentoubro']
6,Saur Energy,"Larsen & Toubro (L&T) an Indian multinational engaged in EPC Projects, commissioned its first indigenously manufactured #electrolyser at the ...",https://twitter.com/Saur_energy/status/1763533492376264895,https://twitter.com › Saur_energy › status,
7,CNBC-TV18,"CNBCTV18Market | Shares of Larsen & Toubro (@larsentoubro) fell 5% after its #Q3FY24 revenue beat Street estimates, but lower-than-expected ...",https://twitter.com/CNBCTV18News/status/1752563157061791783,https://twitter.com › status,
8,"L&T Technology Services (LTTS) on X: ""Get ready to witness ...",,https://twitter.com/LnTTechservices/status/1758850495307976719/video/1,https://twitter.com › LnTTechservices › status › video,
9,L&T Finance,"With every step, @larsentoubro brings Mumbai's spirit to life at the #LnTSeaBridgeMarathon ‍♀️ #ReadyToRun #StridesForMumbai.",https://twitter.com/LnTFinance/status/1757774609863323731,https://twitter.com › LnTFinance › status,
10,World Media Organization,"Larsen & Toubro (L&T) commissions first indigenously manufactured #HydrogenElectrolyser at #Hazira, #Gujarat. @larsentoubro.",https://twitter.com/worldmediaorg/status/1763616165656453566,https://twitter.com › worldmediaorg › status,['larsentoubro']
11,"Bentley Systems, Inc","@larsentoubro. saved 50% in modeling time, reducing the foundation size and precisely fitting the treatment plant to minimize the carbon ...",https://twitter.com/BentleySystems/status/1732151496341332456,https://twitter.com › BentleySystems › status,['larsentoubro']
12,Financial Express,@larsentoubro. ) announced that its Hydrocarbon vertical has recently secured a large onshore project from IndianOil Adani Ventures Limited ...,https://twitter.com/FinancialXpress/status/1754375188924502291,https://twitter.com › FinancialXpress › status,['larsentoubro']
13,France Hydrogène,Log in · Sign up. Conversation. France Hydrogène · @FranceHydrogene.. @larsentoubro.,https://mobile.twitter.com/FranceHydrogene/status/1643622814270775299,https://mobile.twitter.com › FranceHydrogene › status,['larsentoubro']
